Date,CompanyName,Ticker,Price,TotalReturn,PriceReturn
04/03/2008,Microsoft,MSFT,27.59,0.02223,0.02223
05/03/2008,Microsoft,MSFT,28.1199,0.019206,0.019206
06/03/2008,Microsoft,MSFT,27.57,-0.019556,-0.019556
07/03/2008,Microsoft,MSFT,27.87,0.010881,0.010881
10/03/2008,Microsoft,MSFT,28.05,0.006459,0.006459
11/03/2008,Microsoft,MSFT,29.28,0.04385,0.04385
12/03/2008,Microsoft,MSFT,28.63,-0.022199,-0.022199
13/03/2008,Microsoft,MSFT,28.62,-0.000349,-0.000349
14/03/2008,Microsoft,MSFT,27.96,-0.023061,-0.023061
17/03/2008,Microsoft,MSFT,28.3,0.01216,0.01216
18/03/2008,Microsoft,MSFT,29.42,0.039576,0.039576
19/03/2008,Microsoft,MSFT,28.62,-0.027192,-0.027192
20/03/2008,Microsoft,MSFT,29.18,0.019567,0.019567
24/03/2008,Microsoft,MSFT,29.17,-0.000343,-0.000343
25/03/2008,Microsoft,MSFT,29.14,-0.001028,-0.001028
26/03/2008,Microsoft,MSFT,28.56,-0.019904,-0.019904
27/03/2008,Microsoft,MSFT,28.05,-0.017857,-0.017857
28/03/2008,Microsoft,MSFT,27.91,-0.004991,-0.004991
31/03/2008,Microsoft,MSFT,28.38,0.01684,0.01684
01/04/2008,Microsoft,MSFT,29.4999,0.039461,0.039461
02/04/2008,Microsoft,MSFT,29.16,-0.011522,-0.011522
03/04/2008,Microsoft,MSFT,29,-0.005487,-0.005487
04/04/2008,Microsoft,MSFT,29.16,0.005517,0.005517
07/04/2008,Microsoft,MSFT,29.16,0,0
08/04/2008,Microsoft,MSFT,28.75,-0.01406,-0.01406
09/04/2008,Microsoft,MSFT,28.89,0.00487,0.00487
10/04/2008,Microsoft,MSFT,29.11,0.007615,0.007615
11/04/2008,Microsoft,MSFT,28.28,-0.028513,-0.028513
14/04/2008,Microsoft,MSFT,28.06,-0.007779,-0.007779
15/04/2008,Microsoft,MSFT,28.25,0.006771,0.006771
16/04/2008,Microsoft,MSFT,28.95,0.024779,0.024779
17/04/2008,Microsoft,MSFT,29.22,0.009326,0.009326
18/04/2008,Microsoft,MSFT,30,0.026694,0.026694
21/04/2008,Microsoft,MSFT,30.42,0.014,0.014
22/04/2008,Microsoft,MSFT,30.25,-0.005588,-0.005588
23/04/2008,Microsoft,MSFT,31.45,0.039669,0.039669
24/04/2008,Microsoft,MSFT,31.8,0.011129,0.011129
25/04/2008,Microsoft,MSFT,29.83,-0.06195,-0.06195
28/04/2008,Microsoft,MSFT,28.99,-0.02816,-0.02816
29/04/2008,Microsoft,MSFT,28.64,-0.012073,-0.012073
30/04/2008,Microsoft,MSFT,28.52,-0.00419,-0.00419
01/05/2008,Microsoft,MSFT,29.4,0.030856,0.030856
02/05/2008,Microsoft,MSFT,29.24,-0.005442,-0.005442
05/05/2008,Microsoft,MSFT,29.08,-0.005472,-0.005472
06/05/2008,Microsoft,MSFT,29.7,0.02132,0.02132
07/05/2008,Microsoft,MSFT,29.21,-0.016498,-0.016498
08/05/2008,Microsoft,MSFT,29.27,0.002054,0.002054
09/05/2008,Microsoft,MSFT,29.39,0.0041,0.0041
12/05/2008,Microsoft,MSFT,29.99,0.020415,0.020415
13/05/2008,Microsoft,MSFT,29.78,-0.003334,-0.007002
14/05/2008,Microsoft,MSFT,29.93,0.005037,0.005037
15/05/2008,Microsoft,MSFT,30.4501,0.017377,0.017377
16/05/2008,Microsoft,MSFT,29.99,-0.01511,-0.01511
19/05/2008,Microsoft,MSFT,29.46,-0.017673,-0.017673
20/05/2008,Microsoft,MSFT,28.76,-0.023761,-0.023761
21/05/2008,Microsoft,MSFT,28.25,-0.017733,-0.017733
22/05/2008,Microsoft,MSFT,28.47,0.007788,0.007788
23/05/2008,Microsoft,MSFT,28.05,-0.014752,-0.014752
27/05/2008,Microsoft,MSFT,28.44,0.013904,0.013904
28/05/2008,Microsoft,MSFT,28.18,-0.009142,-0.009142
29/05/2008,Microsoft,MSFT,28.31,0.004613,0.004613
30/05/2008,Microsoft,MSFT,28.32,0.000353,0.000353
02/06/2008,Microsoft,MSFT,27.8,-0.018362,-0.018362
03/06/2008,Microsoft,MSFT,27.31,-0.017626,-0.017626
04/06/2008,Microsoft,MSFT,27.54,0.008422,0.008422
05/06/2008,Microsoft,MSFT,28.3,0.027596,0.027596
06/06/2008,Microsoft,MSFT,27.49,-0.028622,-0.028622
09/06/2008,Microsoft,MSFT,27.71,0.008003,0.008003
10/06/2008,Microsoft,MSFT,27.89,0.006496,0.006496
11/06/2008,Microsoft,MSFT,27.12,-0.027608,-0.027608
12/06/2008,Microsoft,MSFT,28.24,0.041298,0.041298
13/06/2008,Microsoft,MSFT,29.07,0.029391,0.029391
16/06/2008,Microsoft,MSFT,28.93,-0.004816,-0.004816
17/06/2008,Microsoft,MSFT,28.8,-0.004494,-0.004494
18/06/2008,Microsoft,MSFT,28.46,-0.011806,-0.011806
19/06/2008,Microsoft,MSFT,28.93,0.016514,0.016514
20/06/2008,Microsoft,MSFT,28.23,-0.024196,-0.024196
