PERMNO	HdrCUSIP	SecurityNm	Ticker	PERMCO	DlyCalDt	DlyPrc	DlyCap	DlyRet	DlyPrcVol
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190516	130.270000	182615351.94	0.007112	626560791.4
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190517	130.510000	182951789.22	0.001842	522419001.0
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190520	129.990000	182222841.78	-0.003984	514079252.4
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190521	129.050000	180905129.10	-0.007231	526533807.8
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190522	130.070000	182334987.54	0.007904	466639912.4
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190523	129.970000	182194805.34	-0.000769	506843879.0
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190524	129.500000	181535949.00	-0.003616	349706073.5
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190528	127.630000	178914541.86	-0.014440	1123611636.3
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190529	128.170000	179671525.74	0.004231	701706910.4
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190530	128.610000	180288327.42	0.003433	343987765.4
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190531	128.000000	179433216.00	-0.004743	535573888.0
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190603	128.980000	180807001.56	0.007656	461836235.4
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190604	129.070000	180933165.54	0.000698	544883331.8
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190605	131.390000	184185392.58	0.017975	667115512.9
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190606	131.980000	185012467.56	0.011759	716823369.9
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190607	133.470000	187101182.34	0.011290	841503925.0
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190610	133.590000	187269400.98	0.000899	394407375.5
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190611	133.200000	186722690.40	-0.002919	472938055.2
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190612	133.140000	186638581.08	-0.000450	437398318.1
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190613	132.940000	186358216.68	-0.001502	378564729.8
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190614	132.730000	185689270.00	-0.001580	436363811.7
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190617	132.520000	185395480.00	-0.001582	360805710.5
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190618	132.060000	184751940.00	-0.003471	575995801.3
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190619	132.850000	185857150.00	0.005982	575455451.3
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190620	134.160000	187689840.00	0.009861	514832157.8
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190621	133.960000	187410040.00	-0.001491	1029789368.4
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190624	134.140000	187661860.00	0.001344	492947195.9
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190625	133.810000	187200190.00	-0.002460	557453664.3
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190626	132.320000	185115680.00	-0.011135	795155074.9
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190627	131.690000	184234310.00	-0.004761	625373949.5
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190628	131.130000	183450870.00	-0.004252	826108903.0
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190701	131.870000	184376677.90	0.005643	464660296.9
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190702	132.430000	185159653.10	0.004247	426530544.0
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190703	133.990000	187340798.30	0.011780	382749402.5
